Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,year_created,month_created,year_closed,month_closed
68691670,2026-04-17 01:53:43,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"985,936","201,694",ONLINE,Unspecified,MANHATTAN,,,,J,J Z platform,,Platform,40.72028000014,-73.99391767169,POINT (-73.993917671686 40.720280000142),2026,4,,
68685748,2026-04-17 01:50:43,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified BRONX,,Unspecified,,BRONX,"1,010,797","235,168",MOBILE,Unspecified,BRONX,,,,6,6 to Manhattan,,Platform,40.81211773136,-73.90409821625,POINT (-73.904098216252 40.812117731365),2026,4,,
68694551,2026-04-17 01:47:18,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Other,11201,141 LIVINGSTON STREET,LIVINGSTON STREET,BOERUM PLACE,SMITH STREET,BOERUM PLACE,SMITH STREET,ADDRESS,BROOKLYN,LIVINGSTON STREET,,In Progress,,,,02 BROOKLYN,33.0,Precinct 84,3001540028.0,BROOKLYN,"987,482","190,898",PHONE,Unspecified,BROOKLYN,,,,,,,,40.69064709463,-73.98834558208,POINT (-73.988345582078 40.690647094627),2026,4,,
68685751,2026-04-17 01:31:55,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Street/Sidewalk,10001,387 8 AVENUE,8 AVENUE,WEST 29 STREET,WEST 30 STREET,WEST 29 STREET,WEST 30 STREET,ADDRESS,NEW YORK,8 AVENUE,,In Progress,,,,04 MANHATTAN,3.0,Precinct 14,1007530037.0,MANHATTAN,"985,464","212,247",PHONE,Unspecified,MANHATTAN,,,,,,,,40.74924546173,-73.99561853078,POINT (-73.995618530785 40.749245461731),2026,4,,
68693076,2026-04-17 01:22:01,2026-04-17 01:50:21,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Residential Building/House,10452,1426 WALTON AVENUE,WALTON AVENUE,EAST 170 STREET,EAST 171 STREET,EAST 170 STREET,EAST 171 STREET,ADDRESS,BRONX,WALTON AVENUE,,Closed,,The Department of Homeless Services has reviewed your Service Request and determined that the issue is not within its jurisdiction.,04/17/2026 01:50:23 AM,04 BRONX,16.0,Precinct 44,2028430079.0,BRONX,"1,007,623","245,367",MOBILE,Unspecified,BRONX,,,,,,,,40.84012003673,-73.91552884358,POINT (-73.915528843578 40.840120036734),2026,4,2026.0,4.0
68691669,2026-04-17 01:11:38,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,"982,076","197,981",MOBILE,Unspecified,MANHATTAN,,,,4,4 5 Downtown & Brooklyn,,Platform,40.71008859656,-74.00784161333,POINT (-74.007841613329 40.710088596564),2026,4,,
68696048,2026-04-17 00:55:11,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,,Street/Sidewalk,10019,256 WEST 57 STREET,WEST 57 STREET,BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,ADDRESS,NEW YORK,WEST 57 STREET,,In Progress,,,,05 MANHATTAN,6.0,Precinct 18,1010280056.0,MANHATTAN,"989,154","218,521",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76646471219,-73.98229630935,POINT (-73.982296309354 40.766464712194),2026,4,,
68688741,2026-04-17 00:48:31,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified BROOKLYN,,Unspecified,,BROOKLYN,"991,740","161,132",MOBILE,Unspecified,BROOKLYN,,,,F,,,Mezzanine,40.60894331669,-73.9730245177,POINT (-73.973024517695 40.608943316686),2026,4,,
68690201,2026-04-17 00:41:07,,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Store/Commercial,10013,110 LAFAYETTE STREET,LAFAYETTE STREET,WALKER STREET,CANAL STREET,WALKER STREET,CANAL STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,,In Progress,,,,01 MANHATTAN,1.0,Precinct 5,1001960022.0,MANHATTAN,"984,022","200,909",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71812552173,-74.00082249468,POINT (-74.000822494678 40.718125521726),2026,4,,
68696078,2026-04-16 23:59:46,2026-04-17 02:06:21,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,,Store/Commercial,11354,136-39 ROOSEVELT AVENUE,ROOSEVELT AVENUE,MAIN STREET,LIPPMANN PLAZA,MAIN STREET,LIPPMANN PLAZA,ADDRESS,FLUSHING,ROOSEVELT AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,04/17/2026 02:04:55 AM,07 QUEENS,20.0,Precinct 109,4049800069.0,QUEENS,"1,031,691","216,183",MOBILE,Unspecified,QUEENS,,,,,,,,40.75992158467,-73.82875228143,POINT (-73.828752281433 40.759921584669),2026,4,2026.0,4.0
